valores,rua,bairro_cidade,link
"R$1,700,000",Rua São Geraldo,"Perdizes, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$310,000",Rua Doutor Nicolau de Souza Queirós,"Vila Mariana, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$1,280,000",Av. Padre Anchieta,"Jardim, Santo André",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$692,000",Rua do Oratório,"Alto da Moóca, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$520,000",Rua Curupace,"Mooca, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$1,700,000",Rua Ouvidor Peleja,"Vila Mariana, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,900,000",São José ,"Santo Amaro, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$275,000",Av. Mário Pernambuco,"Vila Mazzei, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$1,250,000",Rua Cardoso de Almeida,"Perdizes, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$2,100,000",Rua Afonso de Freitas,"Paraíso, São Paulo",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$465,000",Rua dos Campineiros,"Mooca, São Paulo",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$640,000",Rua Visconde de Inhomerim,"Mooca, São Paulo",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$410,000",Rua dos Campineiros,"Mooca, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$920,000",Rua Monte Alegre,"Perdizes, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$435,000",Av. Lacerda Franco,"Cambuci, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$3,600,000",Rua Leôncio de Carvalho,"Paraíso, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$1,100,000",Rua Lydia Ferrari Magnoli,"Jardim Avelino, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$510,000",Rua Correia de Lemos,"Chácara Inglesa, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$485,000",Rua Giovani Perucchi,"Osvaldo Cruz, São Caetano do Sul",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$555,000",Rua Doutor Olavo Egídio,"Santana, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$2,800,000",Rua Itacema,"Itaim Bibi, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,200,000",Rua Florinéia,"Água Fria, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$390,000",Av. Alberto Ramos,"Vila Independência, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$615,000",Al. dos Jurupis,"Indianópolis, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$2,500,000",Rua José Benedetti,"Santo Antônio, São Caetano do Sul",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$920,000",Rua Francisco Soledade,"Parque da Mooca, São Paulo",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$455,000",Av. Professor Celestino Bourroul,"Limão, São Paulo",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$500,000",Rua Ministro Ferreira Alves,"Vila Pompeia, São Paulo",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$290,000",Rua General Bagnuolo,"Quinta da Paineira, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$890,000",Av. Portugal,"Brooklin Paulista, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$369,000",Rua Eduardo Leopoldo,"Vila Guilherme, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$500,000",Rua Santo Egídio,"Chora Menino, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$4,200,000",Rua Francisco Soledade,"Parque da Mooca, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$990,000",Rua Guarujá,"Mirandopolis, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
