valores,rua,bairro_cidade,link
"R$320,000",Rua Dom Estevão Pimentel,"Chácara Belenzinho, São Paulo",/imovel/195149/apartamento-4-dorms-vila_clementino-sao_paulo-venda/
"R$3,600,000",Av. Jamaris,"Planalto Paulista, São Paulo",/imovel/199669/apartamento-3-dorms-vila_gomes_cardim-sao_paulo-venda/
"R$440,000",Rua Antônio Toffoli,"Jardim Guarani, Jundiaí",/imovel/199874/apartamento-3-dorms-maua-sao_caetano_do_sul-venda/
"R$400,000",Al. Rainha Santa,"Vila Carrão, São Paulo",/imovel/197186/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$6,600,000",Rua Rio de Janeiro,"Higienópolis, São Paulo",/imovel/199669/apartamento-3-dorms-vila_gomes_cardim-sao_paulo-venda/
"R$850,000",Al. Campinas,"Jardim Paulista, São Paulo",/imovel/197186/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$498,000",Rua do Retiro,"Vila Das Hortências, Jundiaí",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$845,000",Av. Doutor Francisco Ranieri,"Lauzane Paulista, São Paulo",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$535,000",Rua Olívio D assunção Ferreira,"Mooca, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$440,000",Rua Francisco Pereira Coutinho,"Vila Rafael de Oliveira, Jundiaí",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$328,000",Rua Itapiraçaba,"Brás, São Paulo",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$1,400,000",Rua Guaraciaba,"Chácara Califórnia, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$290,000",Rua Inácio Mammana,"Vila Vitório Mazzei, São Paulo",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$340,000",Av. Santa Inês,"Parque Mandaqui, São Paulo",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$280,000",Rua Boçoroca,"Vila Mira, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$2,750,000",Rua Manoel da Nóbrega,"Paraíso, São Paulo",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$1,200,000",Rua Lydia Ferrari Magnoli,"Jardim Avelino, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$1,075,000",Rua Sergipe,"Consolação, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$880,000",Rua Ibitinga,"Vila Bertioga, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$750,000",Rua Alonso Calhamares,"Jardim Anália Franco, São Paulo",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$550,000",Rua Catumbi,"Catumbi, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$995,000",Rua Congo,"Jardim Bonfiglioli, Jundiaí",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$960,000",Rua Loefgren,"Vila Clementino, São Paulo",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$1,200,000",Rua Peixoto Gomide,"Jardim Paulista, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$1,060,000",Rua Conselheiro Brotero,"Santa Cecília, São Paulo",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$1,250,000",Av. Guaca,"Lauzane Paulista, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$1,705,000",Rua Francisco Cruz,"Vila Mariana, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$500,000",Rua Senhor do Monte,"Mandaqui, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$320,000",Rua Sapucaia,"Alto da Moóca, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$480,000",Rua Brigadeiro Galvão,"Barra Funda, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$250,000",Rua Alora,"Jardim Arize, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$600,000",Rua Major Freire,"Vila Monte Alegre, São Paulo",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$2,100,000",Pç. Padre Mário Fontana,"Parque da Mooca, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$285,000",Rua Bactória,"Jardim Vila Formosa, São Paulo",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$1,280,000",Rua Ana Benvinda de Andrade,"Santana, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$620,000",Rua do Oratório,"Alto da Moóca, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$280,000",Rua do Hipódromo,"Brás, São Paulo",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$1,586,000",Rua Jaguari,"Bosque da Saúde, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$299,000",Rua Otto de Alencar,"Liberdade, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$1,015,000",Av. Professor Alfonso Bovero,"Vila Pompeia, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$370,000",Rua Pindamonhangaba,"Quinta da Paineira, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$950,000",Rua Marina Crespi,"Mooca, São Paulo",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$430,000",Av. Parada Pinto,"Mandaqui, São Paulo",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$350,000",Rua Das Lobélias,"Vila Bela, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$390,000",Rua Bom Jesus,"Vila Regente Feijó, São Paulo",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$450,000",Rua Barão de Jundiaí,"Centro, Jundiaí",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$630,000",Rua Guinle,"Vila Monumento, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$750,000",Rua Juvenal Ferreira,"Vila Matilde, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$360,000",Rua Pan,"Nova Gerty, São Caetano do Sul",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$850,000",Rua Xavier de Almeida,"Ipiranga, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$1,390,000",Rua Monte Serrat,"Tatuapé, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$930,000",Rua Itapeti,"Vila Gomes Cardim, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$1,750,000",Al. dos Tupiniquins,"Moema, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$1,680,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$350,000",Rua Francisca de Paula,"Vila Carrão, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$2,447,000",Av. Engenheiro Luiz Gomes Cardim Sangirardi,"Vila Mariana, São Paulo",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$580,000",Av. Luiz José Sereno,"Jardim Ermida Ii, Jundiaí",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$950,000",Rua Pereira da Nóbrega,"Vila Monumento, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$570,000",Rua João Ribeiro,"Campestre, Santo André",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$1,400,000",Rua Oscar Freire,"Pinheiros, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$1,370,000",Av. Pedroso de Morais,"Pinheiros, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$600,000",Al. Barão de Limeira,"Campos Elíseos, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$320,000",Rua Jaboticabal,"Vila Bertioga, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$550,000",Rua Correia de Lemos,"Chácara Inglesa, São Paulo",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$1,700,000",Al. Santos,"Cerqueira César, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$1,350,000",Al. Campinas,"Jardim Paulista, São Paulo",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$1,500,000",Rua José de Albuquerque Medeiros,"Água Fria, São Paulo",/imovel/197809/apartamento-3-dorms-lauzane_paulista-sao_paulo-venda/
"R$500,000",Rua Guararema,"Bosque da Saúde, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$2,400,000",Rua Francisca Júlia,"Santana, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$690,000",Rua Virgílio de Carvalho Pinto,"Pinheiros, São Paulo",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$1,200,000",Rua Baluarte,"Vila Olímpia, São Paulo",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$1,600,000",Rua Agente Gomes,"Jardim São Paulo, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$1,175,000",Av. Armando Ferrentini,"Paraíso, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$2,490,000",Rua Aimberê,"Vila Pompeia, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$620,000",Rua Orlando Calixto,"Parque Independência, São Paulo",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$480,000",Av. Celso Garcia,"Tatuapé, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$2,250,000",Rua Tatuí,"Jardim Paulista, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$1,175,000",Rua Major Freire,"Vila Monte Alegre, São Paulo",/imovel/198949/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$426,000",Rua Apeninos,"Aclimação, São Paulo",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$400,000",Rua Rego Barros,"Jardim Vila Formosa, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$469,000",Rua Santa Cruz,"Vila Mariana, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$1,050,000",Rua Luiz dos Santos Cabral,"Vila Analia Franco, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$500,000",Rua Das Laranjeiras,"Campestre, Santo André",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$460,000",Rua Professor Aprígio Gonzaga,"São Judas, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$638,000",Rua Bento Araújo,"Barro Branco - zona Norte, São Paulo",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$408,000",Rua Ática,"Jardim Brasil - Zona Sul, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$780,000",Av. Lacerda Franco,"Cambuci, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$639,000",Rua Eça de Queiroz,"Vila Mariana, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$840,000",Rua Aguapeí,"Vila Santo Estevão, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$1,100,000",Av. Parada Pinto,"Mandaqui, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$915,000",Rua Tonelero,"Vila Ipojuca, São Paulo",/imovel/206277/apartamento-3-dorms-vila_das_hortencias-jundiai-venda/
"R$530,000",Av. Alfredo Zunkeller,"Parque Mandaqui, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$500,000",Rua Doutor Seng,"Bela Vista, São Paulo",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$2,000,000",Al. Jaú,"Jardim Paulista, São Paulo",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$580,000",Rua Lisboa,"Cerqueira César, São Paulo",/imovel/202203/apartamento-3-dorms-jardim_avelino-sao_paulo-venda/
"R$1,200,000",Rua Doutor Haberbeck Brandão,"Vila Clementino, São Paulo",/imovel/183085/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$1,685,000",Rua José Maria Lisboa,"Jardim Paulista, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$1,590,000",Rua Alfredo Pujol,"Santana, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$1,100,000",Rua Tijuco Preto,"Tatuapé, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$800,000",Rua Bartira,"Perdizes, São Paulo",/imovel/200348/apartamento-3-dorms-paraiso-sao_paulo-venda/
"R$13,885,000",Rua Pedroso Alvarenga,"Itaim Bibi, São Paulo",/imovel/196483/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$555,000",Rua Serra do Japi,"Vila Gomes Cardim, São Paulo",/imovel/195960/apartamento-4-dorms-chacara_california-sao_paulo-venda/
"R$290,000",Rua Coronel Antônio Marcelo,"Belenzinho, São Paulo",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$1,600,000",Rua Das Goiabeiras,"Jardim, Santo André",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$1,790,000",Rua Júpiter,"Aclimação, São Paulo",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$1,400,000",Rua Vitoantônio Del Vecchio,"Parque da Mooca, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$439,900",Rua Turiassu,"Perdizes, São Paulo",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$1,400,000",Rua Agostinho Gomes,"Ipiranga, São Paulo",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$2,800,000",Rua José Vicente de Azevedo,"Vila Mariana, São Paulo",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$980,000",Rua Doutor Guilherme Cristoffel,"Santana, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$320,000",Rua Várzea Paulista,"Vila Agrícola, Jundiaí",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$480,000",Rua Primeiro de Janeiro,"Vila Clementino, São Paulo",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$798,000",Lg. do Arouche,"República, São Paulo",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$480,000",Rua Evangelina,"Vila Carrão, São Paulo",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$530,000",Rua Alegria,"Brás, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$980,000",Rua Catulo da Paixão Cearense,"Vila da Saúde, São Paulo",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$350,000",Rua Porto Alegre,"Vila Assunção, Santo André",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$580,000",Estrada Velha da Penha,"Tatuapé, São Paulo",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$990,000",Rua José Debieux,"Santana, São Paulo",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$325,000",Rua CANANÉIA,"Vila Valparaíso, Santo André",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$375,000",Rua Luísa Álvares,"Vila Campestre, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$550,000",Av. Guilherme Giorgi,"Vila Carrão, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$390,000",Rua Tamarataca,"Mooca, São Paulo",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$588,365",Rua Luís Cavana,"Centro, São Caetano do Sul",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$335,000",Rua CANANÉIA,"Vila Valparaíso, Santo André",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$298,000",Rua Isolina,"Jardim Sonia, São Paulo",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$3,900,000",Rua Cônego Amaral Mello,"Casa Verde, São Paulo",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$480,000",Rua Garção Tinoco,"Santana, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$580,000",Rua Elias Juvenal de Mello,"Jardim Ana Maria, Jundiaí",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$335,000",Rua CANANÉIA,"Vila Valparaíso, Santo André",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$320,000",Av. Patente,"Jardim Patente, São Paulo",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$390,000",Rua Feliciano Bicudo,"Vila Paulicéia, São Paulo",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$1,270,000",Av. Higienópolis,"Higienópolis, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$1,100,000",Rua Alexandre Benois,"Vila Andrade, São Paulo",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$1,380,000",Av. César Puglia,"Jardim Das Samambaias, Jundiaí",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$380,000",Rua Quinze de Novembro,"Centro, Jundiaí",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$850,000",Rua Oliveira Alves,"Ipiranga, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$2,300,000",Rua Prof. Pedreira de Freitas,"Tatuapé, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$420,000",Rua Casa Forte,"Água Fria, São Paulo",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$850,000",Rua Doutor Nicolau de Souza Queirós,"Vila Mariana, São Paulo",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$670,000",Av. da Invernada,"Vila Congonhas, São Paulo",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$2,300,000",Rua Doutor Brasílio Machado,"Santa Cecília, São Paulo",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$700,000",Av. Nova Cantareira,"Tucuruvi, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$4,930,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$1,705,000",Rua do Paraíso,"Paraíso, São Paulo",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$350,000",Rua Dianópolis,"Parque da Mooca, São Paulo",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$400,000",Rua Alegria,"Brás, São Paulo",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$660,000",Av. Nova Cantareira,"Tucuruvi, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$430,000",Rua Rifaina,"Vila Anglo Brasileira, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$568,318",Rua Luís Cavana,"Centro, São Caetano do Sul",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$365,000",Rua Manoel Dutra,"Bela Vista, São Paulo",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$1,600,000",Rua Piracuama,"Perdizes, São Paulo",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$3,700,000",Rua Eleonora Cintra,"Jardim Anália Franco, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$245,000",Rua Adriático,"Jardim Estádio, Santo André",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$3,725,000",Rua Paracuê,"Sumaré, São Paulo",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$950,000",Rua Pelotas,"Vila Mariana, São Paulo",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$705,000",Rua Peixoto Gomide,"Jardim Paulista, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$340,000",Rua Pedra Sabão,"Vila Guilherme, São Paulo",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$415,000",Rua Capitão Sérvio Rodrigues Caldas,"Vila Dom Pedro Ii, São Paulo",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$890,000",Rua Francisco Soares Nalin,"Vila Viotto, Jundiaí",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$1,150,000",Av. Montemagno,"Vila Formosa, São Paulo",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$640,000",Av. Marquês de São Vicente,"Água Branca, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$950,000",Rua Pantojo,"Vila Regente Feijó, São Paulo",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$1,000,000",Rua Professor Aprígio Gonzaga,"São Judas, São Paulo",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$480,000",Rua Hayden,"Vila Leopoldina, São Paulo",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$505,300",Rua Perrella,"Fundação, São Caetano do Sul",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$1,050,000",Rua Cataguaz,"Vila Congonhas, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$2,450,000",Rua Edson,"Campo Belo, São Paulo",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$305,000",Rua CANANÉIA,"Vila Valparaíso, Santo André",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$900,000",Av. Nova Cantareira,"Tucuruvi, São Paulo",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$950,000",Rua Oscar Freire,"Pinheiros, São Paulo",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$695,700",Rua Luís Cavana,"Centro, São Caetano do Sul",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$385,000",Rua Almirante José Saldanha da Gama,"Parque Mandaqui, São Paulo",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$530,000",Rua Curuena,"Chácara Belenzinho, São Paulo",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$6,000,000",Rua Teixeira da Silva,"Paraíso, São Paulo",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$1,400,000",Rua Sampaio Viana,"Paraíso, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$230,000",Rua Osmundo dos Santos Pellegrini,"Recanto Quarto Centenário, Jundiaí",/imovel/186374/apartamento-4-dorms-jardim-santo_andre-venda/
"R$1,400,000",Av. Angélica,"Santa Cecília, São Paulo",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$660,000",Rua Oswaldo Cruz,"Jardim Jamaica, Santo André",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$750,000",Al. Santos,"Cerqueira César, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$716,000",Rua Das Perobas,"Jardim Oriental, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$1,550,000",Rua dos Ingleses,"Morro dos Ingleses, São Paulo",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$430,000",Rua Xavier da Veiga,"Santana, São Paulo",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$300,000",Rua GRÃ-BRETANHA,"Vila Príncipe de Gales, Santo André",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$2,450,000",Pç. Padre Mário Fontana,"Parque da Mooca, São Paulo",/imovel/185239/apartamento-2-dorms-belenzinho-sao_paulo-venda/
"R$900,000",Rua Emílio Mallet,"Vila Gomes Cardim, São Paulo",/imovel/185301/apartamento-3-dorms-parque_da_mooca-sao_paulo-venda/
"R$900,000",Rua Major Sucupira,"Centro, Jundiaí",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$465,000",Rua Ravenna,"Engordadouro, Jundiaí",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$990,000",Rua Marechal Barbacena,"Vila Regente Feijó, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$510,000",Rua do Retiro,"Vila Das Hortências, Jundiaí",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$2,890,000",Rua Piauí,"Higienópolis, São Paulo",/imovel/185308/apartamento-2-dorms-vila_agricola-jundiai-venda/
"R$800,000",Rua Das Fiandeiras,"Vila Olímpia, São Paulo",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$990,000",Rua Agente Gomes,"Jardim São Paulo, São Paulo",/imovel/190978/apartamento-3-dorms-ipiranga-sao_paulo-venda/
"R$980,000",Rua Eleonora Cintra,"Jardim Anália Franco, São Paulo",/imovel/200961/apartamento-4-dorms-vila_mariana-sao_paulo-venda/
"R$490,000",Av. Conselheiro Carrão,"Vila Carrão, São Paulo",/imovel/194694/apartamento-3-dorms-santana-sao_paulo-venda/
"R$6,500,000",Rua Itapeti,"Vila Gomes Cardim, São Paulo",/imovel/208016/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
